municipio,tipo_vivienda,habitaciones,metros_cuadrados,aseos,planta,garaje,zona_centro,ascensor,piscina,reformado,terraza,aire_acondicionado,precio
1,5,3.0,125.0,2.0,3.0,1,1,1,0,0,0,0,230000.0
1,2,5.0,310.0,4.0,0.0,0,0,0,0,0,1,0,870000.0
1,2,5.0,527.0,3.0,0.0,0,0,0,0,0,1,0,550000.0
1,0,4.0,380.0,2.0,4.0,0,1,0,0,0,1,0,379000.0
1,0,4.0,230.0,2.0,4.0,0,1,0,0,0,0,0,200000.0
1,0,4.0,200.0,2.0,4.0,0,1,0,0,0,1,0,376000.0
1,5,2.0,122.0,2.0,3.0,0,1,1,0,0,1,0,260000.0
1,5,3.0,74.0,1.0,3.0,0,0,0,0,0,0,0,100000.0
1,5,2.0,68.0,1.0,3.0,0,1,0,0,0,0,0,49000.0
1,2,3.0,304.0,3.0,0.0,0,0,0,0,0,1,0,265000.0
1,5,2.0,64.0,1.0,1.0,0,1,0,0,0,0,0,51000.0
1,5,3.0,105.0,2.0,2.0,0,1,1,0,0,0,0,175000.0
1,2,4.0,402.0,3.0,0.0,0,0,0,0,0,1,0,504000.0
1,0,3.0,140.0,2.0,4.0,0,1,0,0,0,0,0,325000.0
1,1,4.0,371.0,2.0,0.0,0,0,0,0,0,0,0,504000.0
1,5,3.0,67.0,2.0,4.0,0,0,0,0,0,0,0,69000.0
1,5,4.0,64.0,1.0,5.0,0,0,0,0,0,0,0,123000.0
1,2,6.0,550.0,4.0,0.0,0,0,0,0,0,1,0,1290000.0
1,5,3.0,100.0,2.0,3.0,0,1,0,0,0,0,1,177000.0
1,2,2.0,78.0,1.0,0.0,0,0,0,0,0,1,0,245000.0
1,2,4.0,202.0,3.0,0.0,0,0,0,0,0,1,0,340000.0
1,2,4.0,160.0,2.0,0.0,0,0,0,0,0,1,0,379000.0
1,5,3.0,85.0,1.0,3.0,0,0,1,0,0,1,0,124000.0
1,5,4.0,120.0,1.0,1.0,0,1,0,0,0,1,0,146000.0
1,2,3.0,88.0,1.0,0.0,0,0,0,0,0,1,0,495000.0
1,5,3.0,64.0,1.0,5.0,0,0,0,0,0,0,0,114000.0
1,6,2.0,90.0,1.0,0.0,0,0,0,0,0,1,0,130000.0
1,5,3.0,98.0,2.0,3.0,1,1,1,0,0,0,0,250000.0
1,2,5.0,586.0,5.0,0.0,0,0,0,0,0,1,0,650000.0
1,5,2.0,48.0,1.0,3.0,0,0,0,0,0,0,0,92000.0
1,2,5.0,452.0,3.0,0.0,0,0,0,0,0,1,0,1040000.0
1,5,2.0,86.0,1.0,3.0,0,0,0,0,0,0,0,74000.0
1,0,4.0,260.0,3.0,4.0,0,1,0,1,0,1,0,410000.0
1,5,2.0,54.0,1.0,3.0,0,1,1,0,0,0,0,57000.0
1,0,2.0,80.0,1.0,4.0,0,1,0,0,0,0,0,159500.0
1,2,5.0,297.0,2.0,0.0,0,0,0,0,0,1,0,450000.0
1,5,3.0,105.0,2.0,3.0,0,0,0,0,0,1,0,249000.0
1,2,6.0,359.0,3.0,0.0,0,0,0,0,0,1,0,649000.0
1,5,3.0,90.0,1.0,3.0,1,0,1,0,0,0,0,185000.0
1,5,4.0,102.0,2.0,3.0,0,1,1,0,0,0,0,134700.0
1,5,4.0,100.0,1.0,3.0,0,0,1,0,0,0,0,142000.0
1,2,4.0,100.0,1.0,0.0,0,0,0,0,0,1,0,129000.0
1,5,3.0,154.0,3.0,3.0,0,0,1,0,0,0,0,264000.0
1,5,3.0,136.0,2.0,3.0,0,1,0,0,0,1,0,180000.0
1,5,3.0,90.0,1.0,1.0,0,0,1,0,0,0,0,175000.0
1,2,2.0,132.0,1.0,0.0,0,0,0,0,0,1,0,250000.0
1,0,4.0,210.0,2.0,4.0,0,1,0,0,0,1,0,295000.0
1,2,5.0,220.0,4.0,0.0,0,0,0,0,0,1,0,479900.0
1,5,4.0,120.0,2.0,3.0,0,0,1,0,0,0,0,150000.0
1,5,4.0,113.0,1.0,1.0,0,0,1,0,0,0,0,149990.0
1,2,4.0,333.0,4.0,0.0,0,0,0,0,0,1,0,790000.0
1,2,7.0,344.0,3.0,0.0,0,0,0,1,0,1,0,350000.0
1,0,3.0,98.0,2.0,4.0,0,1,0,0,0,0,0,250000.0
1,5,3.0,135.0,2.0,3.0,1,0,1,0,0,0,0,228000.0
1,2,5.0,550.0,4.0,0.0,0,0,0,1,0,0,0,1290000.0
