,calle,barrio,municipio,tipo_vivienda,titulo,habitaciones,metros_cuadrados,aseos,planta,descripcion,etiquetas,garaje,precio
27,Piso en venta en,Centro Ciudad,Manises,Piso,Piso en venta en Centro Ciudad,4.0,96.0,1.0,,Amplio piso con balcón y dos terrazas con 106 metros constr...Leer más,[],No,155000.0
28,Casa adosada en venta en Quart,de Poblet,Manises,Casa adosada,Casa adosada en venta en Quart de Poblet,5.0,352.0,3.0,,Casa urbana con garaje y varias terrazas situada en zona Con...Leer más,[],Sí,360000.0
29,Casa o chalet en venta en,Centro Ciudad,Manises,Casa,Casa o chalet en venta en Centro Ciudad,3.0,95.0,1.0,,"Piso muy luminoso en pleno centro de Manises, situado en la ...Leer más",[],No,137000.0
30,Casa o chalet en venta en,La Cañada,Manises,Chalet,Casa o chalet en venta en La Cañada,4.0,105.0,1.0,,Cerca del centro de la cañada encontramos esta acogedora viv...Leer más,[],No,285000.0
31,Casa adosada en venta en,La Cañada,Manises,Casa adosada,Casa adosada en venta en La Cañada,5.0,216.0,2.0,,Chalet adosado en La Cañada de 5 dormitorios y 2 baños compl...Leer más,[],No,385000.0
32,Piso en venta en,El Mercado,Manises,Piso,Piso en venta en El Mercado,2.0,105.0,2.0,,ATHIKA presenta. ¡Oportunidad única en Xirivella! Ponemos a ...Leer más,[],No,140000.0
33,Piso en venta en,El Mercado,Manises,Piso,Piso en venta en El Mercado,3.0,94.0,2.0,,ATHIKA presenta en exclusiva. ¡Oportunidad única en Manises!...Leer más,[],No,120000.0
34,Casa o chalet en venta en,La Cañada,Manises,Chalet,Casa o chalet en venta en La Cañada,3.0,85.0,1.0,,"Chalet en venta en la localidad de La Cañada, cercana a la p...Leer más",[],No,295000.0
35,Planta baja en venta en N/A,Aldaia,Manises,Planta baja,"Planta baja en venta en N/A, -1, Aldaia",2.0,61.0,1.0,,"SIN COMISION INMOBILIARIA.
Vivienda situada en el bajo con una excelente ubicación: parada de tren, supermercados, centros educativos, etc.
Se distribuye en 2 h...Leer más",['Bajos'],No,110000.0
36,Piso en venta en Quart,de Poblet,Manises,Piso,Piso en venta en Quart de Poblet,3.0,72.0,1.0,5ª Planta,"Fantástica vivienda en el corazón de Quart de poblet con reforma reciente,  ideal para quieres buscan comodidad, amplitud y una excelente ubicación.

La vivie...Leer más","['Ascensor', 'Aire acondicionado']",No,160000.0
